 cs, lang, valid, onsale, homepage, mailist, special, txt_title, txt_summary, rdate, stock, hide_stock_end, catalog_num, site_price, club_price, pricelist_price, buy_price, cash_price, delivery_price, vat_included, profit_percent, supply_days, payments, txt_warranty, txt_model, sale_type, product_type, delivery_points, supplier_id
649, heb,1,0,0,0,0, 10 ערכות 59 שח ליחידה סכה 590 שח, , 0000-00-00 00:00:00,0,0,2038,590,0,0,0,0,0,0,0,0,0, , , ,0,0,0
651, heb,1,0,0,0,0, מארז ערכות טרריום פיית קאפקייק בחר כמות," ערכת יצירה טרריום פיית קאפקייק בהנחת כמות, החל מ 54 שח ליחידה במקום 59 שח בהזמנת 5 ערכות ומעלה. המחיר יורד בהתאם לבחירת הכמות",2023-02-26 11:18:13,0,0,2039,54,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
653, heb,1,0,0,0,0, מארז ערכות  טרריום קסום   יש להיכנס לתוך המוצר ולבחור כמות, המחיר יורד בהתאם לבחירת הכמות,2023-02-26 11:18:13,0,0,2074,54,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
655, heb,1,0,0,0,0, 5 ערכות 54 שח ליחידה סכה 270 שח, , 0000-00-00 00:00:00,0,0,2040,270,0,0,0,0,0,0,0,0,0, , , ,0,0,0
657, heb,1,0,0,0,0, 6 ערכות 53 שח ליחידה סכה 318שח, , 0000-00-00 00:00:00,0,0,2041,318,0,0,0,0,0,0,0,0,0, , , ,0,0,0
659, heb,1,0,0,0,0, 7 ערכות 52 שח ליחידה סכה 364שח, , 0000-00-00 00:00:00,0,0,2042,364,0,0,0,0,0,0,0,0,0, , , ,0,0,0
661, heb,1,0,0,0,0, 8 ערכות 51 שח ליחידה סכה 408שח, , 0000-00-00 00:00:00,0,0,2043,408,0,0,0,0,0,0,0,0,0, , , ,0,0,0
663, heb,1,0,0,0,0, 9 ערכות 50 שח ליחידה סכה 450 שח, , 0000-00-00 00:00:00,0,0,2044,450,0,0,0,0,0,0,0,0,0, , , ,0,0,0
665, heb,1,0,0,0,0, 10 ערכות 49 שח ליחידה סכה 490שח, , 0000-00-00 00:00:00,0,0,2045,490,0,0,0,0,0,0,0,0,0, , , ,0,0,0
667, heb,1,0,0,0,0, 5 ערכות 54 שח ליחידה סכה 270 שח, , 0000-00-00 00:00:00,0,0,2075,270,0,0,0,0,0,0,0,0,0, , , ,0,0,0
669, heb,1,0,0,0,0, 6 ערכות 53 שח ליחידה סכה 318 שח, , 0000-00-00 00:00:00,0,0,2076,318,0,0,0,0,0,0,0,0,0, , , ,0,0,0
671, heb,1,0,0,0,0, 7 ערכות 52 שח ליחידה סכה 364 שח, , 0000-00-00 00:00:00,0,0,2077,364,0,0,0,0,0,0,0,0,0, , , ,0,0,0
673, heb,1,0,0,0,0, 8 ערכות 51 שח ליחידה סכה 408 שח, , 0000-00-00 00:00:00,0,0,2078,408,0,0,0,0,0,0,0,0,0, , , ,0,0,0
675, heb,1,0,0,0,0, 9 ערכות 50 שח ליחידה סכה 450 שח, , 0000-00-00 00:00:00,0,0,2079,450,0,0,0,0,0,0,0,0,0, , , ,0,0,0
677, heb,1,0,0,0,0, 10 ערכות 49 שח ליחידה סכה 490 שח, , 0000-00-00 00:00:00,0,0,2080,490,0,0,0,0,0,0,0,0,0, , , ,0,0,0
679, heb,1,0,0,0,0, מארז ערכות טרריום פיות  יש להיכנס לתוך המוצר ולבחור כמות, המחיר יורד בהתאם לבחירת הכמות,2023-02-26 11:18:13,0,0,2046,54,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
681, heb,1,0,0,0,0, 5 ערכות 54 שח ליחידה סכה 270 שח, , 0000-00-00 00:00:00,0,0,2047,270,0,0,0,0,0,0,0,0,0, , , ,0,0,0
683, heb,1,0,0,0,0, 6 ערכות 53 שח ליחידה סכה 318 שח, , 0000-00-00 00:00:00,0,0,2048,318,0,0,0,0,0,0,0,0,0, , , ,0,0,0
685, heb,1,0,0,0,0, 7 ערכות 52 שח ליחידה סכה 364 שח, , 0000-00-00 00:00:00,0,0,2049,364,0,0,0,0,0,0,0,0,0, , , ,0,0,0
687, heb,1,0,0,0,0, 8 ערכות 51 שח ליחידה סכה 408 שח, , 0000-00-00 00:00:00,0,0,2050,408,0,0,0,0,0,0,0,0,0, , , ,0,0,0
689, heb,1,0,0,0,0, 9 ערכות 50 שח ליחידה סכה 450 שח, , 0000-00-00 00:00:00,0,0,2051,450,0,0,0,0,0,0,0,0,0, , , ,0,0,0
691, heb,1,0,0,0,0, 10 ערכות 49 שח ליחידה סכה 490 שח, , 0000-00-00 00:00:00,0,0,2052,490,0,0,0,0,0,0,0,0,0, , , ,0,0,0
695, heb,1,0,0,0,0, מארזי תיק אוצרות לבן 5 יח, ,2023-06-04 20:33:14,0,0,3011,45,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
697, heb,1,0,0,0,0, מארז 5 תיקי אוצרות 45 שח, , 0000-00-00 00:00:00,0,0,3011,45,0,0,0,0,0,0,0,0,0, , , ,0,0,0
699, heb,1,0,0,0,0, מארז 6 תיקי אוצרות 54 שח, , 0000-00-00 00:00:00,0,0,3012,54,0,0,0,0,0,0,0,0,0, , , ,0,0,0
701, heb,1,0,0,0,0, מארז 7 תיקי אוצרות  63 שח, , 0000-00-00 00:00:00,0,0,3013,63,0,0,0,0,0,0,0,0,0, , , ,0,0,0
703, heb,1,0,0,0,0, מארז 8 תיקי אוצרות 72 שח, , 0000-00-00 00:00:00,0,0,3014,72,0,0,0,0,0,0,0,0,0, , , ,0,0,0
705, heb,1,0,0,0,0, מארז 9 תיקי אוצרות 81 שח, , 0000-00-00 00:00:00,0,0,3015,81,0,0,0,0,0,0,0,0,0, , , ,0,0,0
707, heb,1,0,0,0,0, מארז 10 תיקי אוצרות 90 שח, , 0000-00-00 00:00:00,0,0,3016,90,0,0,0,0,0,0,0,0,0, , , ,0,0,0
715, heb,1,0,0,0,0, תיק אוצרות כחול, ,2023-06-04 20:33:14,0,0,3017,9.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
717, heb,1,0,0,0,0, מארזי תיק אוצרות כחול 5 יח, ,2023-06-04 20:33:14,0,0,3018,45,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
719, heb,1,0,0,0,0, מארז 5 תיקי אוצרות 45 שח, , 0000-00-00 00:00:00,0,0,3019,45,0,0,0,0,0,0,0,0,0, , , ,0,0,0
721, heb,1,0,0,0,0, מארז 6 תיקי אוצרות 54 שח, , 0000-00-00 00:00:00,0,0,3020,54,0,0,0,0,0,0,0,0,0, , , ,0,0,0
723, heb,1,0,0,0,0, מארז 7 תיקי אוצרות  63 שח, , 0000-00-00 00:00:00,0,0,3021,63,0,0,0,0,0,0,0,0,0, , , ,0,0,0
725, heb,1,0,0,0,0, מארז 8 תיקי אוצרות 72 שח, , 0000-00-00 00:00:00,0,0,3022,72,0,0,0,0,0,0,0,0,0, , , ,0,0,0
727, heb,1,0,0,0,0, מארז 9 תיקי אוצרות 81 שח, , 0000-00-00 00:00:00,0,0,3023,81,0,0,0,0,0,0,0,0,0, , , ,0,0,0
